–Á•¿–¼,Ticker
TANDEM DIABETES CARE INC,TNDM
DELUXE CORP,DLX
EDGEWELL PERSONAL CARE CO,EPC
BIOLIFE SOLUTIONS INC,BLFS
CRACKER BARREL OLD COUNTRY,CBRL
EASTERLY GOVERNMENT PROPERTI,DEA
SIMPLY GOOD FOODS CO/THE,SMPL
SAFETY INSURANCE GROUP INC,SAFT
NCR VOYIX CORP,VYX
F+G ANNUITIES + LIFE INC,FG
MARTEN TRANSPORT LTD,MRTN
DONNELLEY FINANCIAL SOLUTION,DFIN
ARBOR REALTY TRUST INC,ABR
MIDDLESEX WATER CO,MSEX
UPBOUND GROUP INC,UPBD
UPWORK INC,UPWK
AZENTA INC,AZTA
INNOVEX INTERNATIONAL INC,INVX
CONMED CORP,CNMD
SOUTHSIDE BANCSHARES INC,SBSI
CENTRAL PACIFIC FINANCIAL CO,CPF
CENTERSPACE,CSR
U.S. PHYSICAL THERAPY INC,USPH
QUIDELORTHO CORP,QDEL
SCANSOURCE INC,SCSC
BLACKBAUD INC,BLKB
HANMI FINANCIAL CORPORATION,HAFC
GROCERY OUTLET HOLDING CORP,GO
CAPITOL FEDERAL FINANCIAL IN,CFFN
XENCOR INC,XNCR
TRUSTCO BANK CORP NY,TRST
ARTIVION INC,AORT
PENNYMAC MORTGAGE INVESTMENT,PMT
LIQUIDITY SERVICES INC,LQDT
SCHRODINGER INC,SDGR
UNITIL CORP,UTL
VIRTUS INVESTMENT PARTNERS,VRTS
DEL MONTE CORP,FDP
WHITESTONE REIT,WSR
EMPLOYERS HOLDINGS INC,EIG
PACIRA BIOSCIENCES INC,PCRX
APOGEE ENTERPRISES INC,APOG
NATIONAL BEVERAGE CORP,FIZZ
GOOSEHEAD INSURANCE INC  A,GSHD
CVR ENERGY INC,CVI
STANDARD MOTOR PRODS,SMP
MATTHEWS INTL CORP CLASS A,MATW
KOPPERS HOLDINGS INC,KOP
WINNEBAGO INDUSTRIES,WGO
PC CONNECTION INC,CNXN
JBG SMITH PROPERTIES,JBGS
FOX FACTORY HOLDING CORP,FOXF
TRUPANION INC,TRUP
EAGLE BANCORP INC,EGBN
EVERFORTH INC,EFOR
SABRE CORP,SABR
QUANEX BUILDING PRODUCTS,NX
QUINSTREET INC,QNST
TOOTSIE ROLL INDS,TR
ADAMAS TRUST INC,ADAM
JOHN B. SANFILIPPO + SON INC,JBSS
SAFEHOLD INC,SAFE
UNDER ARMOUR INC CLASS C,UA
NATIONAL PRESTO INDS INC,NPK
ZOOMINFO TECHNOLOGIES INC,GTM
SCHOLASTIC CORP,SCHL
MARCUS + MILLICHAP INC,MMI
COTY INC CL A,COTY
METALLUS INC,MTUS
HEARTLAND EXPRESS INC,HTLD
MARINEMAX INC,HZO
COGENT COMMUNICATIONS HOLDIN,CCOI
PHIBRO ANIMAL HEALTH CORP A,PAHC
SHENANDOAH TELECOMMUNICATION,SHEN
VERRA MOBILITY CORP,VRRM
REDWOOD TRUST INC,RWT
HERTZ GLOBAL HLDGS INC,HTZ
AMPHASTAR PHARMACEUTICALS IN,AMPH
FRANKLIN BSP REALTY TRUST IN,FBRT
CERTARA INC,CERT
NEXPOINT RESIDENTIAL,NXRT
HEALTHSTREAM INC,HSTM
LEGALZOOMCOM INC,LZ
RPC INC,RES
AMERISAFE INC,AMSF
CORE LABORATORIES INC,CLB
SPRINKLR INC A,CXM
NAVIENT CORP,NAVI
WORLD ACCEPTANCE CORP,WRLD
SAUL CENTERS INC,BFS
DREAM FINDERS HOMES INC   A,DFH
AGNT INC,AGNT
CORSAIR GAMING INC,CRSR
GRID DYNAMICS HOLDINGS INC,GDYN
